poiType,poicode,name,month,h3index,h5,district_code,district,count,estimated_visit,country,version,customer,year,date,polygon,POI(s),state,brands
food.nightlife.bar_pub,POI_1012_G_0x390d1f52c9a8054f:0x43f9d83070d7be45,the hub lounge & bar,6,893da118d97ffff,853da11bfffffff,IN.HR.GU,Gurgaon,69,1015,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,"POLYGON ((77.0982855 28.4457186, 77.0986995 28.4461139, 77.0987689 28.4460577, 77.0988108 28.4460976, 77.0987397 28.4461551, 77.0992042 28.446599, 77.0992858 28.446533, 77.09935520000001 28.4465994, 77.09939989999999 28.4465633, 77.09965390000001 28.4468063, 77.0995308 28.4469058, 77.099643 28.4470132, 77.09970800000001 28.4469607, 77.09976109999999 28.4470116, 77.0998644 28.4469282, 77.0998122 28.4468782, 77.09989969999999 28.4468075, 77.0995346 28.4464577, 77.0996758 28.4463437, 77.09953590000001 28.4462096, 77.09939439999999 28.4463238, 77.0993581 28.4462889, 77.0992483 28.4463774, 77.09850520000001 28.4456654, 77.0984442 28.4456618, 77.0984036 28.445623, 77.0982855 28.4457186))",Bar and Pub,Haryana,
food.nightlife.nightclub,POI_1012_G_0x390d3d3adfb5eee1:0x24bcb85745ff4fd1,manoj medical,6,893da1cc9cbffff,853da1cffffffff,IN.HR.GU,Gurgaon,2,49,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,,Nightclub,Haryana,
food.nightlife.brewery,POI_1001_35619ede-fcbc13f851cfe224c769bc5b2b6e4c57,"bottles & barrels, the craft brewery",6,893da11a8c3ffff,853da11bfffffff,IN.HR.GU,Gurgaon,42,618,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,"POLYGON ((77.0521924 28.4606233, 77.05261160000001 28.4606266, 77.052609 28.4608744, 77.0521885 28.4608711, 77.05218960000001 28.4607567, 77.0521073 28.460756, 77.0521079 28.4607026, 77.0521916 28.4607033, 77.0521924 28.4606233))",Brewery,Haryana,
food.nightlife.nightclub,POI_1012_G_0x390d3d3adfb5eee1:0x24bcb85745ff4fd1,manoj medical,6,893da1cc9cbffff,853da1cffffffff,IN.HR.GU,Gurgaon,1,27,IND,3.4,all_ind_3.4_all,2024,2024-06-07 00:01:01,,Nightclub,Haryana,
food.nightlife.bar_pub,POI_1012_G_0x390d19285a69ab7b:0xf2150dae77570f04,devil's staying alive,6,893da11a9afffff,853da11bfffffff,IN.HR.GU,Gurgaon,26,435,IND,3.4,all_ind_3.4_all,2024,2024-06-07 00:01:01,,Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1001_356ttncb-8838ea50782f40fa95cc7cd0f67d4452,shiv shakti wine co.,6,893da11a3b7ffff,853da11bfffffff,IN.HR.GU,Gurgaon,13,234,IND,3.4,all_ind_3.4_all,2024,2024-06-02 00:01:01,"POLYGON ((77.0207141876181 28.45394186266537, 77.0206441876181 28.45399186266535, 77.02064340759719 28.45399248067665, 77.02064269286549 28.45399317315711, 77.02064205050151 28.45399393324862, 77.02064148686702 28.45399475342345, 77.0206410075441 28.45399562555884, 77.02064061727981 28.4539965410174, 77.02064031993923 28.45399749073271, 77.02064011846713 28.45399846529907, 77.02064001485881 28.45399945506465, 77.02064001014041 28.45400045022711, 77.02064010435863 28.45400144093066, 77.02064029658038 28.45400241736365, 77.02064058490194 28.45400336985579, 77.02064096646787 28.45400428897386, 77.02064143749924 28.4540051656152, 77.0206419933311 28.45400599109781, 77.02064262845865 28.45400675724635, 77.02075262845865 28.45412675724634, 77.02075331461003 28.45412743677087, 77.02075406310651 28.45412804694326, 77.02075486696791 28.45412858207328, 77.02075571869779 28.45412903717056, 77.02075661035325 28.45412940799104, 77.02075753361912 28.45412969107662, 77.0207584798854 28.45412988378735, 77.02075944032764 28.45412998432611, 77.02076040598912 28.45412999175529, 77.02076136786454 28.45412990600564, 77.02076231698382 28.45412972787681, 77.02076324449591 28.45412945902995, 77.02076414175121 28.45412910197221, 77.02076500038233 28.45412866003337, 77.020765812382 28.45412813733476, 77.02083581238199 28.45407813733478, 77.0208365924029 28.45407751932348, 77.0208373071346 28.45407682684302, 77.02083794949858 28.45407606675151, 77.02083851313307 28.45407524657668, 77.02083899245599 28.45407437444129, 77.02083938272028 28.45407345898273, 77.02083968006086 28.45407250926742, 77.02083988153296 28.45407153470106, 77.02083998514128 28.45407054493548, 77.02083998985968 28.45406954977302, 77.02083989564146 28.45406855906947, 77.02083970341971 28.45406758263648, 77.02083941509815 28.45406663014434, 77.02083903353223 28.45406571102627, 77.02083856250086 28.45406483438493, 77.020838006669 28.45406400890232, 77.02083737154145 28.45406324275378, 77.02072737154144 28.45394324275379, 77.02072668539006 28.45394256322926, 77.02072593689358 28.45394195305687, 77.02072513303219 28.45394141792685, 77.02072428130231 28.45394096282957, 77.02072338964685 28.45394059200909, 77.02072246638097 28.45394030892351, 77.02072152011469 28.45394011621278, 77.02072055967245 28.45394001567402, 77.02071959401097 28.45394000824484, 77.02071863213556 28.45394009399449, 77.02071768301627 28.45394027212332, 77.02071675550418 28.45394054097018, 77.02071585824888 28.45394089802792, 77.02071499961777 28.45394133996676, 77.0207141876181 28.45394186266537))",Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1001_356ttnf1-bbed7f6f009746de4b26c5a4d3d862bc,mix lounge and bar,6,893da11ad63ffff,853da11bfffffff,IN.HR.GU,Gurgaon,25,450,IND,3.4,all_ind_3.4_all,2024,2024-06-02 00:01:01,"POLYGON ((77.070623 28.4772642, 77.0705641 28.4774006, 77.0706864 28.4774245, 77.0707068 28.4772811, 77.070623 28.4772642))",Bar and Pub,Haryana,
food.nightlife.live_entertainment,POI_1012_G_0x390d182cbaaaaaab:0x9707a55f648ab8b4,shiv mahadev band,6,893da11a103ffff,853da11bfffffff,IN.HR.GU,Gurgaon,8,118,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,"POLYGON ((77.01678366762216 28.46583226042708, 77.01667366762216 28.46592226042708, 77.01667293855688 28.46592291932072, 77.01667227768233 28.46592364659084, 77.01667169138042 28.46592443521439, 77.01667118531296 28.46592527757578, 77.01667076436689 28.46592616554055, 77.01667043260721 28.4659270905338, 77.01667019323764 28.46592804362311, 77.01667004856972 28.46592901560469, 77.01667000000049 28.46592999709236, 77.01667004799894 28.46593097860811, 77.01667019210159 28.46593195067366, 77.01667043091685 28.465932903902, 77.01667076213855 28.46593382908804, 77.01667118256816 28.46593471729745, 77.01667168814568 28.465935559953, 77.01667227398886 28.46593634891737, 77.01667293444036 28.4659370765717, 77.01667366312235 28.46593773588921, 77.0166744529981 28.46593832050301, 77.0167036291059 28.46595777124157, 77.01677292893223 28.46602707106789, 77.01677365529737 28.46602772947277, 77.01677444264166 28.46602831358943, 77.01677528339791 28.46602881780391, 77.01677616948558 28.46602923727018, 77.01677709238844 28.46602956795675, 77.01677804323646 28.46602980668536, 77.01677901289099 28.46602995116161, 77.01677999203267 28.46602999999691, 77.01678097125092 28.4660299527219, 77.01678194113444 28.46602980979096, 77.01678289236166 28.4660295725778, 77.0167838157903 28.46602924336228, 77.01678470254525 28.46602882530849, 77.01678554410388 28.46602832243438, 77.01678633237795 28.46602773957307, 77.01689633237795 28.46593773957306, 77.01689704312633 28.46593709889942, 77.01689768938603 28.46593639322642, 77.01689826523972 28.46593562901537, 77.01689876541471 28.4659348132636, 77.0168991853313 28.46593395344034, 77.01689952114459 28.46593305741835, 77.01689976977983 28.46593213340184, 77.01689992896041 28.46593118985135, 77.01689999722886 28.46593023540628, 77.01689997396008 28.46592927880576, 77.01689985936713 28.46592832880869, 77.01689965449926 28.46592739411348, 77.01689936123229 28.46592648327844, 77.01689898225143 28.46592560464343, 77.01689852102676 28.46592476625344, 77.01689798178134 28.46592397578499, 77.01689736945266 28.46592324047582, 77.01689668964737 28.46592256705861, 77.01679668964739 28.46583256705861, 77.01679590348465 28.46583192851509, 77.01679505676456 28.46583137276802, 77.01679415817271 28.46583090551821, 77.01679321692676 28.46583053155867, 77.0167922426819 28.46583025472541, 77.01679124543185 28.46583007785818, 77.01679023540628 28.46583000277126, 77.01678922296594 28.46583003023488, 77.01678821849633 28.46583015996733, 77.01678723230121 28.46583039063781, 77.01678627449685 28.46583071988015, 77.01678535490834 28.46583114431699, 77.01678448296867 28.46583165959453, 77.01678366762216 28.46583226042708))",Live Entertainment-Music,Haryana,
food.nightlife.bar_pub,POI_1012_G_0x390d19dfc8329061:0x9327c94b4cae3331,"la la land brew pub, gurgaon",6,893da11a96fffff,853da11bfffffff,IN.HR.GU,Gurgaon,36,530,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,,Bar and Pub,Haryana,
food.nightlife.bar_pub,POI_1012_G_0x390d18b4f7b4f6b7:0xdab36d1ea128c088,striker skybar and brewpub,6,893da10365bffff,853da103fffffff,IN.HR.GU,Gurgaon,123,4940,IND,3.4,all_ind_3.4_all,2024,2024-06-08 00:01:01,"POLYGON ((77.0993563 28.4474322, 77.0987313 28.4480855, 77.0987957 28.4482694, 77.0993287 28.4484683, 77.09943509999999 28.4482168, 77.0992928 28.4481713, 77.0992942 28.448146, 77.0992928 28.4481119, 77.0992799 28.4480626, 77.0992439 28.4480222, 77.09920080000001 28.4479855, 77.0996176 28.4476228, 77.0993563 28.4474322))",Bar and Pub,Haryana,
